FFA-Wx-GBI90
 1.00360     0.00067
 0.96807     0.00670
 0.94708     0.01039
 0.92408     0.01459
 0.89917     0.01928
 0.87248     0.02445
 0.84413     0.03008
 0.81426     0.03616
 0.78301     0.04270
 0.75053     0.04968
 0.71699     0.05699
 0.68254     0.06454
 0.64735     0.07219
 0.61159     0.07977
 0.57540     0.08706
 0.53899     0.09390
 0.50251     0.10018
 0.46615     0.10576
 0.43009     0.11049
 0.39449     0.11422
 0.35953     0.11677
 0.32537     0.11796
 0.29219     0.11761
 0.26014     0.11577
 0.22937     0.11247
 0.20001     0.10786
 0.17222     0.10211
 0.14612     0.09541
 0.12184     0.08789
 0.09949     0.07971
 0.07917     0.07103
 0.06098     0.06202
 0.04501     0.05281
 0.03134     0.04352
 0.02009     0.03422
 0.01132     0.02505
 0.00506     0.01617
 0.00128     0.00776
 0.00000    -0.00004
 0.00128    -0.00657
 0.00510    -0.01298
 0.01144    -0.01939
 0.02024    -0.02600
 0.03147    -0.03284
 0.04509    -0.03976
 0.06102    -0.04668
 0.07919    -0.05349
 0.09952    -0.06007
 0.12188    -0.06633
 0.14616    -0.07215
 0.17227    -0.07743
 0.20006    -0.08197
 0.22941    -0.08561
 0.26018    -0.08823
 0.29222    -0.08969
 0.32538    -0.08981
 0.35952    -0.08847
 0.39446    -0.08560
 0.43006    -0.08113
 0.46614    -0.07501
 0.50253    -0.06732
 0.53905    -0.05849
 0.57550    -0.04900
 0.61170    -0.03924
 0.64746    -0.02977
 0.68265    -0.02106
 0.71711    -0.01343
 0.75065    -0.00698
 0.78313    -0.00179
 0.81437     0.00206
 0.84422     0.00462
 0.87256     0.00603
 0.89923     0.00637
 0.92412     0.00577
 0.94710     0.00440
 0.96808     0.00250
 1.00360    -0.00169
